Population,Sample,Avg Depth,Run Accessions,,,,,
BFS,ERS224670,53.4185,ERR326992,ERR328759,ERR328771,ERR491202,ERR495686,ERR501923
BFS,ERS224248,29.3857,ERR323754,ERR327004,ERR327016,,,
BFS,ERS224089,30.3154,ERR327101,ERR338379,ERR338391,,,
BFS,ERS224283,28.2682,ERR323817,ERR328534,ERR328546,,,
BFS,ERS224294,34.9151,ERR323819,ERR328536,ERR328548,,,
BFS,ERS224165,68.7802,ERR327112,ERR338390,ERR338402,,,
BFS,ERS224095,36.507,ERR327103,ERR338381,ERR338393,,,
BFS,ERS224295,32.0071,ERR323820,ERR328537,ERR328549,,,
BFS,ERS224227,37.5645,ERR323751,ERR327001,ERR327013,,,
BFS,ERS223790,37.5195,ERR319996,ERR327360,ERR327372,,,
BFS,ERS223797,37.1178,ERR319997,ERR327361,ERR327373,,,
BFS,ERS223771,37.6122,ERR320019,ERR328396,ERR328408,,,
BFS,ERS223827,33.6122,ERR320024,ERR328401,ERR328413,,,
BFS,ERS223759,35.2468,ERR320043,ERR328418,ERR328430,,,
BFS,ERS223750,31.8459,ERR320016,ERR328393,ERR328405,,,
BFS,ERS224771,42.858,ERR343475,ERR343655,ERR343667,,,
BFS,ERS223967,34.6639,ERR328794,ERR331929,ERR331941,,,
BFS,ERS223970,33.014,ERR328827,ERR331998,ERR332010,,,
BFS,ERS223924,42.7108,ERR328777,ERR331900,ERR331912,,,
BFS,ERS224776,33.3372,ERR343476,ERR343656,ERR343668,,,
KES,ERS224300,36.9316,ERR323822,ERR328551,ERR328539,,,
KES,ERS224168,30.6598,ERR323746,ERR326996,ERR327008,,,
KES,ERS224314,42.2518,ERR323823,ERR328540,ERR328552,,,
KES,ERS224235,33.5567,ERR323777,ERR327051,ERR327063,,,
KES,ERS224245,31.3453,ERR323753,ERR327003,ERR327015,,,
KES,ERS224206,33.7607,ERR323773,ERR327047,ERR327059,,,
KES,ERS224153,43.3658,ERR317276,ERR320203,ERR320215,,,
KES,ERS224091,31.3143,ERR317271,ERR320198,ERR320210,,,
KES,ERS224105,67.0734,ERR317272,ERR320199,ERR320211,,,
KES,ERS224112,52.8781,ERR317274,ERR320201,ERR320213,,,
KES,ERS224167,29.1327,ERR323745,ERR326995,ERR327007,,,
KES,ERS224209,30.2659,ERR323747,ERR326997,ERR327009,,,
KES,ERS224224,29.387,ERR323750,ERR327000,ERR327012,,,
KES,ERS224109,26.5965,ERR323700,ERR327142,ERR327154,,,
KES,ERS224137,27.0952,ERR323703,ERR327145,ERR327157,,,
KES,ERS224217,28.1673,ERR323748,ERR326998,ERR327010,,,
KES,ERS224218,62.1446,ERR323764,ERR327026,ERR327038,ERR491356,ERR495504,ERR495516
KES,ERS224115,54.2895,ERR317285,ERR320224,ERR320236,ERR495826,ERR502075,ERR502171
KES,ERS224205,59.4621,ERR323762,ERR327024,ERR327036,ERR491354,ERR495502,ERR495514
KES,ERS224170,69.9498,ERR323757,ERR327019,ERR327031,ERR491349,ERR495497,ERR495509
