Population,Sample,ox_code,src_code,population,country,location,site,contributor,contact,year,m_s,sex,n_sequences,mean_coverage,latitude,longitude
BFS,ERS224670,AB0281-C,BF12-32,BFgam,Burkina Faso,Pala,Pala,Austin Burt,Sam O'Loughlin,2012,S,F,103403794,32.28,11.15,-4.235
BFS,ERS224248,AB0283-C,BF10-12,BFgam,Burkina Faso,Pala,Pala,Austin Burt,Sam O'Loughlin,2012,S,F,87745524,28.23,11.15,-4.235
BFS,ERS224089,AB0284-C,BF10-13,BFgam,Burkina Faso,Pala,Pala,Austin Burt,Sam O'Loughlin,2012,S,F,90042918,28.74,11.15,-4.235
BFS,ERS224283,AB0244-C,BF11-20,BFgam,Burkina Faso,Souroukoudinga,Souroukoudinga,Austin Burt,Sam O'Loughlin,2012,S,F,102110064,27.69,11.235,-4.535
BFS,ERS224294,AB0274-C,BF12-25,BFgam,Burkina Faso,Pala,Pala,Austin Burt,Sam O'Loughlin,2012,S,F,108685078,32.81,11.15,-4.235
BFS,ERS224165,AB0278-C,BF12-29,BFgam,Burkina Faso,Pala,Pala,Austin Burt,Sam O'Loughlin,2012,S,F,206265632,66.54,11.15,-4.235
BFS,ERS224095,AB0265-C,BF12-14,BFgam,Burkina Faso,Pala,Pala,Austin Burt,Sam O'Loughlin,2012,S,F,110571284,33.98,11.15,-4.235
BFS,ERS224295,AB0268-C,BF12-17,BFgam,Burkina Faso,Pala,Pala,Austin Burt,Sam O'Loughlin,2012,S,F,99074812,31.44,11.15,-4.235
BFS,ERS224227,AB0238-C,BF11-14,BFgam,Burkina Faso,Souroukoudinga,Souroukoudinga,Austin Burt,Sam O'Loughlin,2012,S,F,111628010,36.81,11.235,-4.535
BFS,ERS223790,AB0205-C,BFPala_58_2,BFgam,Burkina Faso,Pala,Pala,Austin Burt,Sam O'Loughlin,2012,S,F,118030304,37.86,11.15,-4.235
BFS,ERS223797,AB0206-C,BFPala_58_3,BFgam,Burkina Faso,Pala,Pala,Austin Burt,Sam O'Loughlin,2012,S,F,116492418,37.38,11.15,-4.235
BFS,ERS223771,AB0207-C,BFSour_59_1,BFgam,Burkina Faso,Souroukoudinga,Souroukoudinga,Austin Burt,Sam O'Loughlin,2012,S,F,120735434,37.72,11.235,-4.535
BFS,ERS223827,AB0208-C,BFSour_59_2,BFgam,Burkina Faso,Souroukoudinga,Souroukoudinga,Austin Burt,Sam O'Loughlin,2012,S,F,112084150,34.53,11.235,-4.535
BFS,ERS223759,AB0211-C,BFBana_16_1,BFgam,Burkina Faso,Bana,Bana,Austin Burt,Sam O'Loughlin,2012,S,F,112964850,35.06,11.233,-4.472
BFS,ERS223750,AB0217-C,BFSour_54_1,BFgam,Burkina Faso,Souroukoudinga,Souroukoudinga,Austin Burt,Sam O'Loughlin,2012,S,F,104164004,32.39,11.235,-4.535
BFS,ERS224771,AB0161-C,BF3-48,BFgam,Burkina Faso,Bana,Bana,Austin Burt,Sam O'Loughlin,2012,S,M,135544660,40.53,11.233,-4.472
