chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	total_diffs	total_comps	total_missing
chrX	1	1000	0.001637482586398596	1000	4134	2524607	450
chrX	1001	2000	0.0008085229517493212	1000	1805	2232466	4868
chrX	2001	3000	0.0014548054915216988	1000	3548	2438814	1724
chrX	3001	4000	0.0005875396697570255	994	1492	2539403	18
chrX	4001	5000	0.0014481600462933964	990	2913	2011518	12548
chrX	5001	6000	0.0015530887483145035	904	2299	1480276	21816
chrX	6001	7000	0.003458943197697831	992	7052	2038773	13662
chrX	7001	8000	0.000444712894682694	1000	67	150659	66810
chrX	8001	9000	0.00222994740170385	792	3886	1742642	5388
chrX	9001	10000	0.0039074658280189144	708	6390	1635331	3010
