pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
BFS	KES	chrX	1	1000	0.001834310489388428	1000	2354	1283316	356
BFS	KES	chrX	1001	2000	0.0008955024314034582	1000	1018	1136792	4526
BFS	KES	chrX	2001	3000	0.0016200095332568954	1000	2012	1241968	1524
BFS	KES	chrX	3001	4000	0.0006706908115358819	994	864	1288224	0
BFS	KES	chrX	4001	5000	0.0021513151947934557	990	2380	1106300	8892
BFS	KES	chrX	5001	6000	0.001567924224659172	904	1364	869940	16244
BFS	KES	chrX	6001	7000	0.004026094917773428	992	4204	1044188	13326
BFS	KES	chrX	7001	8000	0.0003707365299060801	1000	36	97104	65994
BFS	KES	chrX	8001	9000	0.002740443150676782	792	2764	1008596	526
BFS	KES	chrX	9001	10000	0.006479396482988846	708	5916	913048	142
