pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
BFS	chrX	1	1000	0.0014718788009422488	1000	478	324755	10
BFS	chrX	1001	2000	0.0008631931938148171	1000	278	322060	120
BFS	chrX	2001	3000	0.0008	1000	260	325000	0
BFS	chrX	3001	4000	0.0004643244079863798	994	150	323050	0
BFS	chrX	4001	5000	0.0014027431421446384	990	396	282304	2988
BFS	chrX	5001	6000	0.002021609364968788	904	444	219627	5770
BFS	chrX	6001	7000	0.0016694045409328083	992	438	262369	4782
BFS	chrX	7001	8000	0.0010009609224855861	1000	25	24976	23776
BFS	chrX	8001	9000	0.0032872122701519545	792	832	253102	204
BFS	chrX	9001	10000	0.007498156012272884	708	1718	229123	50
