pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
KES	chrX	1	11000	0.0021300622878166944	10359	11389	5346792	60732
KES	chrX	1001	12000	0.002707077551709544	10328	14334	5295009	61742
KES	chrX	2001	13000	0.0032992792100837616	10282	17543	5317222	59996
KES	chrX	3001	14000	0.0033894733538524994	10282	16632	4906957	80950
KES	chrX	4001	15000	0.003469355265773565	10287	16824	4849316	84060
KES	chrX	5001	16000	0.003280106525325641	10268	16162	4927279	79450
KES	chrX	6001	17000	0.0030750510442072027	10363	15749	5121541	71658
KES	chrX	7001	18000	0.0029399757912296465	10352	14850	5051062	74820
KES	chrX	8001	19000	0.0028412490700511182	10352	16002	5632030	41780
KES	chrX	9001	20000	0.003124819889710373	10421	17729	5673607	41838
